Number,Sex,Victim,Fake News type,Sources,Rip off
1,Male,0,Social Media Sharing,Social Media,0
2,Male,1,Deliberate Misinformation,Social Media,1
3,Male,1,Deliberate Misinformation,The Internet,0
4,Female,0,Deliberate Misinformation,The Internet,1
5,Male,1,Deliberate Misinformation,Word of Mouth,1
6,Male,0,Deliberate Misinformation,Word of Mouth,0
7,Male,1,Social Media Sharing,Word of Mouth,0
8,Male,1,Deliberate Misinformation,Social Media,1
9,Female,0,Social Media Sharing,Social Media,1
10,Female,1,Deliberate Misinformation,Social Media,0
11,Male,1,Social Media Sharing,Word of Mouth,0
12,Female,0,Social Media Sharing,The Internet,1
13,Female,0,Social Media Sharing,Word of Mouth,1
14,Male,0,Social Media Sharing,The Internet,0
15,Male,0,Deliberate Misinformation,Social Media,0
16,Female,0,Social Media Sharing,Social Media,0
17,Female,0,Deliberate Misinformation,Word of Mouth,0
18,Female,0,Deliberate Misinformation,The Internet,0
19,Male,0,Deliberate Misinformation,The Internet,1
20,Female,0,Social Media Sharing,Word of Mouth,0
21,Male,0,Social Media Sharing,The Internet,0
22,Male,1,Social Media Sharing,Social Media,1
23,Male,1,Deliberate Misinformation,Social Media,1
24,Female,0,Social Media Sharing,The Internet,1
25,Male,0,Social Media Sharing,Social Media,1
26,Female,1,Deliberate Misinformation,Word of Mouth,0
27,Female,0,Social Media Sharing,Word of Mouth,1
28,Female,1,Social Media Sharing,Social Media,0
29,Female,1,Deliberate Misinformation,Social Media,1
30,Female,1,Social Media Sharing,Word of Mouth,1
31,Male,0,Social Media Sharing,The Internet,1
32,Male,1,Social Media Sharing,Word of Mouth,1
33,Male,1,Social Media Sharing,Social Media,1
34,Male,0,Social Media Sharing,Social Media,1
35,Male,0,Deliberate Misinformation,Social Media,0
36,Female,1,Social Media Sharing,The Internet,0
37,Male,1,Deliberate Misinformation,Social Media,1
38,Female,1,Deliberate Misinformation,The Internet,0
39,Female,0,Deliberate Misinformation,The Internet,1
40,Female,1,Social Media Sharing,The Internet,1
41,Female,1,Social Media Sharing,Word of Mouth,1
42,Male,0,Deliberate Misinformation,Social Media,1
43,Female,1,Deliberate Misinformation,Word of Mouth,0
44,Female,0,Deliberate Misinformation,Social Media,1
45,Female,1,Social Media Sharing,The Internet,1
46,Female,0,Social Media Sharing,Social Media,0
47,Female,1,Social Media Sharing,The Internet,1
48,Male,1,Deliberate Misinformation,The Internet,1
49,Female,0,Social Media Sharing,Word of Mouth,0
50,Female,0,Social Media Sharing,Word of Mouth,0
51,Female,0,Deliberate Misinformation,Word of Mouth,1
52,Female,0,Deliberate Misinformation,Social Media,0
53,Female,1,Social Media Sharing,Social Media,1
54,Male,1,Deliberate Misinformation,Social Media,1
55,Male,1,Deliberate Misinformation,The Internet,1
56,Male,1,Social Media Sharing,Social Media,0
57,Female,1,Deliberate Misinformation,Word of Mouth,1
58,Female,0,Deliberate Misinformation,Social Media,1
59,Female,0,Social Media Sharing,Word of Mouth,0
60,Female,0,Social Media Sharing,The Internet,0
61,Male,0,Social Media Sharing,Word of Mouth,0
62,Female,0,Social Media Sharing,Word of Mouth,0
63,Female,1,Deliberate Misinformation,Word of Mouth,0
64,Female,0,Social Media Sharing,Social Media,0
65,Male,1,Social Media Sharing,Word of Mouth,1
66,Male,0,Social Media Sharing,Word of Mouth,1
67,Male,0,Social Media Sharing,Word of Mouth,0
68,Male,0,Social Media Sharing,Social Media,0
69,Female,0,Social Media Sharing,The Internet,0
70,Female,1,Social Media Sharing,The Internet,0
71,Female,0,Social Media Sharing,The Internet,1
72,Male,0,Deliberate Misinformation,Social Media,1
73,Female,1,Deliberate Misinformation,Social Media,0
74,Male,1,Social Media Sharing,Social Media,1
75,Female,0,Social Media Sharing,Social Media,0
76,Female,1,Social Media Sharing,The Internet,1
77,Female,1,Social Media Sharing,Word of Mouth,0
78,Female,1,Deliberate Misinformation,The Internet,0
79,Female,1,Social Media Sharing,Social Media,1
80,Female,1,Social Media Sharing,Social Media,0
81,Female,1,Social Media Sharing,The Internet,0
82,Male,0,Social Media Sharing,The Internet,1
83,Female,0,Deliberate Misinformation,Word of Mouth,1
84,Female,1,Social Media Sharing,Social Media,0
85,Male,0,Deliberate Misinformation,The Internet,1
86,Male,0,Deliberate Misinformation,Word of Mouth,1
87,Female,1,Social Media Sharing,Word of Mouth,0
